model,category,prompt_id,version,duration,time_seconds
hunyuanvideo_1_5_distilled,plant,5,long,10s,171.9
hunyuanvideo_1_5_distilled,plant,5,long,15s,340.88
hunyuanvideo_1_5_distilled,scenery,1,short,5s,87.56
hunyuanvideo_1_5_distilled,scenery,1,short,10s,206.61
hunyuanvideo_1_5_distilled,scenery,1,short,15s,435.17
hunyuanvideo_1_5_distilled,scenery,1,medium,5s,85.44
hunyuanvideo_1_5_distilled,scenery,1,medium,10s,214.73
hunyuanvideo_1_5_distilled,scenery,1,medium,15s,422.33
hunyuanvideo_1_5_distilled,scenery,1,long,5s,88.07
hunyuanvideo_1_5_distilled,scenery,1,long,10s,217.74
hunyuanvideo_1_5_distilled,scenery,1,long,15s,422.91
hunyuanvideo_1_5_distilled,scenery,2,short,5s,77.82
hunyuanvideo_1_5_distilled,scenery,2,short,10s,209.9
hunyuanvideo_1_5_distilled,scenery,2,short,15s,428.64
hunyuanvideo_1_5_distilled,scenery,2,medium,5s,90.37
hunyuanvideo_1_5_distilled,scenery,2,medium,10s,213.78
hunyuanvideo_1_5_distilled,scenery,2,medium,15s,363.5
hunyuanvideo_1_5_distilled,scenery,2,long,5s,118.35
hunyuanvideo_1_5_distilled,scenery,2,long,10s,171.74
hunyuanvideo_1_5_distilled,scenery,2,long,15s,340.53
hunyuanvideo_1_5_distilled,scenery,3,short,5s,58.91
hunyuanvideo_1_5_distilled,scenery,3,short,10s,172.04
hunyuanvideo_1_5_distilled,scenery,3,short,15s,340.72
hunyuanvideo_1_5_distilled,scenery,3,medium,5s,58.91
hunyuanvideo_1_5_distilled,scenery,3,medium,10s,172.13
hunyuanvideo_1_5_distilled,scenery,3,medium,15s,340.62
hunyuanvideo_1_5_distilled,scenery,3,long,5s,58.98
hunyuanvideo_1_5_distilled,scenery,3,long,10s,172.15
hunyuanvideo_1_5_distilled,scenery,3,long,15s,340.8
hunyuanvideo_1_5_distilled,scenery,4,short,5s,58.74
hunyuanvideo_1_5_distilled,scenery,4,short,10s,171.8
hunyuanvideo_1_5_distilled,scenery,4,short,15s,340.37
hunyuanvideo_1_5_distilled,scenery,4,medium,5s,58.79
hunyuanvideo_1_5_distilled,scenery,4,medium,10s,172.04
hunyuanvideo_1_5_distilled,scenery,4,medium,15s,340.17
hunyuanvideo_1_5_distilled,scenery,4,long,5s,58.74
hunyuanvideo_1_5_distilled,scenery,4,long,10s,171.82
hunyuanvideo_1_5_distilled,scenery,4,long,15s,340.16
hunyuanvideo_1_5_distilled,scenery,5,short,5s,58.84
hunyuanvideo_1_5_distilled,scenery,5,short,10s,172.03
hunyuanvideo_1_5_distilled,scenery,5,short,15s,340.82
hunyuanvideo_1_5_distilled,scenery,5,medium,5s,58.88
hunyuanvideo_1_5_distilled,scenery,5,medium,10s,172.2
hunyuanvideo_1_5_distilled,scenery,5,medium,15s,341.18
hunyuanvideo_1_5_distilled,scenery,5,long,5s,58.92
hunyuanvideo_1_5_distilled,scenery,5,long,10s,172.13
